city,html_file,file_size,has_infobox,paragraphs,headings,tables,links,first_paragraph
Ardud,ardud.html,117424,False,33,7,4,254,"Ardud (în maghiară Erdőd, în trad. Pădureni; în germană Erdeed) este un oraș în județul Satu Mare, Transilvania, România, format din localitățile comp"
Avrig,avrig.html,444804,False,39,13,50,1430,"Avrig (în dialectul săsesc Frek, Fraek, în germană Freck, Fryk, în maghiară Felek) este un oraș în județul Sibiu, Transilvania, România, format din lo"
Azuga,azuga.html,166513,False,41,11,8,408,"Azuga (în trecut, Între Prahove) este un oraș în județul Prahova, Muntenia, România.[2] Localitatea este situată pe Valea Prahovei, la confluența cu r"
Babadag,babadag.html,120431,False,32,13,5,220,"Babadag (în turcă Babadağ, în trecut și Babatag) este un oraș în județul Tulcea, Dobrogea, România.[3]"
Bacău,bacău.html,417828,False,112,48,16,1178,"Bacău (pronunțieⓘ, în maghiară Bákó, supranumit și „orașul lui Bacovia”)[3] este municipiul de reședință al județului cu același nume, Moldova, Români"
Baia De Aramă,baia_de_aramă.html,144774,False,27,11,6,265,"Baia de Aramă este un oraș în județul Mehedinți, Oltenia, România, format din localitatea componentă Baia de Aramă (reședința), și din satele Bratilov"
Baia De Arieș,baia_de_arieș.html,139402,False,29,12,6,297,"Baia de Arieș, în trecut Ofenbaia, Baia (în maghiară Aranyosbánya, Offenbánya, Kupecbánya, în dialectul săsesc Offera, în germană Offenburg, Umberg, O"
Baia Mare,baia_mare.html,442066,False,99,43,9,1016,"Baia Mare (în maghiară Nagybánya, în germană Frauenbach, în latină Civitas Rivulus Dominarum) este municipiul de reședință al județului Maramureș, Tra"
Baia Sprie,baia_sprie.html,174916,False,58,13,6,353,"Baia Sprie (în maghiară Felsőbánya, în trad. Baia de Sus, în germană Mittelstadt) este un oraș în județul Maramureș, Transilvania, România, format din"
Balș,balș.html,171455,False,85,20,6,398,"Balș este un oraș în județul Olt, Oltenia, România, format din localitățile componente Balș (reședința), Corbeni și Româna, și din satul Teiș.[3] Balș"
Baraolt,baraolt.html,111981,False,28,12,4,214,"Baraolt (în maghiară Barót, în germană Boralth) este un oraș în județul Covasna, Transilvania, România, format din localitatea componentă Baraolt (reș"
Bechet,bechet.html,147611,False,28,11,6,435,"Bechet este un oraș în județul Dolj, Oltenia, România.[2] Este situat în sudul județului, fiind unul dintre cele două porturi dunărene ale județului D"
Beclean,beclean.html,165418,False,43,18,5,314,"Beclean, cunoscut și ca Beclean pe Someș, (în maghiară Bethlen, în germană Bethlen) este un oraș în județul Bistrița-Năsăud, Transilvania, România, fo"
Beiuș,beiuș.html,167380,False,57,21,6,342,"Beiuș (în maghiară Belényes, în germană Binsch) este un municipiu în județul Bihor, Crișana, România, format din localitățile componente Beiuș (reședi"
Berbești,berbești.html,157716,False,35,12,5,317,"Berbești este un oraș în județul Vâlcea, Oltenia, România, format din localitățile componente Berbești (reședința), Dămțeni, Dealu Aluniș, Roșioara, T"
Berești,berești.html,103870,False,26,10,4,175,"Berești este un oraș în județul Galați, Moldova, România.[2] Are o populație de 2.916 locuitori. Așezarea datează încă din paleolitic, pe teritoriul o"
Bicaz,bicaz.html,147187,False,28,12,4,302,"Bicaz (în maghiară Békás) este un oraș în județul Neamț, Moldova, România, format din localitățile componente Bicaz (reședința), Capșa, Dodeni și Izvo"
Bistrița,bistrița.html,399761,False,67,15,14,904,"Bistrița (în germană Bistritz, formă arhaică Nösen; în maghiară Beszterce; în dialectul săsesc Nîsner-Bistritz, Nîzn, Bästerts, Bîsterts, Bistriz)[2] "
Blaj,blaj.html,213323,False,44,16,7,556,"Blaj (în germană Blasendorf, în maghiară Balázsfalva, în dialectul săsesc din zonă: Bluesendref)[3] este un municipiu în județul Alba, Transilvania, R"
Bocșa,bocșa.html,161355,False,39,26,8,354,"Bocșa este un oraș în județul Caraș-Severin, Banat, România.[2] Are o populație de 16.911 locuitori. La Bocșa s-a prelucrat metalul în furnale înainte"
Boldești-Scăeni,boldești-scăeni.html,192107,False,35,13,6,339,"Boldești-Scăeni (scris uneori și Boldești-Scăieni) este un oraș în județul Prahova, Muntenia, România, format din localitățile componente Boldești-Scă"
Bolintin-Vale,bolintin-vale.html,119821,False,27,8,3,237,"Bolintin-Vale (în trecut, Bolintinu din Vale sau Moșneni-Drăgoiu) este un oraș în județul Giurgiu, Muntenia, România, format din localitatea component"
Borsec,borsec.html,215443,False,63,16,11,512,"Borsec (maghiară: Borszék, germană: Bad Borseck) este un oraș în județul Harghita, Transilvania, România.[3] Are o populație de 2.585 locuitori, cu o "
Borșa,borșa.html,219900,False,112,30,9,378,"Borșa (în maghiară Borsa, în germană Borscha) este un oraș în județul Maramureș, Transilvania, România, format din localitățile componente Băile Borșa"
Botoșani,botoșani.html,242208,False,71,28,9,622,"Botoșani este municipiul de reședință al județului cu același nume, Moldova, România.[2]
Se află în Câmpia Jijiei, la o altitudine de 170 m deasupra n"
Brad,brad.html,44518,False,10,4,5,124,"Bradul (Abies) este un gen de copaci care cuprinde aproximativ 45–55 de specii de conifere din familia Pinaceae, răspândite preponderent în zonele mun"
Bragadiru,bragadiru.html,114501,False,27,8,5,210,"Bragadiru este un oraș în județul Ilfov, Muntenia, România.[5] Localitatea se află în vecinătatea sud-vestică a municipiului București, la ieșirea căt"
Brașov,brașov.html,754535,False,179,45,63,2771,
Breaza,breaza.html,313922,False,60,21,7,833,"Breaza este un oraș în județul Prahova, Muntenia, România, format din localitățile componente Breaza de Jos (reședința), Breaza de Sus, Frăsinet, Gura"
Brezoi,brezoi.html,128285,False,39,9,5,312,"Brezoi este un oraș în județul Vâlcea, Oltenia, România, format din localitatea componentă Brezoi (reședința), și din satele Călinești, Corbu, Drăgăne"
Broșteni,broșteni.html,118193,False,36,15,4,316,"Broșteni este un oraș în județul Suceava, Moldova, România, format din localitățile componente Broșteni (reședința), Hăleasa, Lungeni și Neagra, și di"
Brăila,brăila.html,421055,False,112,39,19,1318,"Brăila (în bulgară Браила, în turcă Ibrail) este municipiul de reședință al județului cu același nume, Muntenia, România.[3]"
Bucecea,bucecea.html,102119,False,27,10,5,214,"Bucecea este un oraș în județul Botoșani, Moldova, România, format din localitățile componente Bucecea (reședința) și Călinești, și din satul Bohoghin"
București,bucurești.html,1147320,True,164,64,47,2545,
Budești,budești.html,146187,False,28,9,3,270,"Budești este un oraș în județul Călărași, Muntenia, România, format din localitatea componentă Budești (reședința), și din satele Aprozi, Buciumeni și"
Buftea,buftea.html,152512,False,42,9,7,317,"Buftea este un oraș în județul Ilfov, Muntenia, România, format din localitatea componentă Buftea (reședința), și din satul Buciumeni.[4] Localitatea "
Buhuși,buhuși.html,343795,False,87,14,4,673,"Buhuși (în idiș באהוש, în ebraică בוחוש, transliterat: Bohush, în maghiară Buhus) este un oraș în județul Bacău, Moldova, România, format din localită"
Bumbești-Jiu,bumbești-jiu.html,109186,False,28,9,4,206,"Bumbești-Jiu este un oraș în județul Gorj, Oltenia, România, format din localitatea componentă Bumbești-Jiu (reședința), și din satele Curtișoara, Lăz"
Buziaș,buziaș.html,335413,False,57,23,15,1052,"Buziaș (în maghiară Buziásfürdő, în germană Busiasch, în sârbă Бузјаш), cunoscut și ca Băile Buziaș sau Buziaș-Băi, este un oraș în județul Timiș, Ban"
Buzău,buzău.html,651911,False,109,28,10,1352,"Buzău este municipiul de reședință al județului cu același nume, Muntenia, România.[3]
Având 103.481 de locuitori la recensământul din 2021,[4] este a"
Bușteni,bușteni.html,191308,False,44,12,9,449,"Bușteni este un oraș în județul Prahova, Muntenia, România, format din localitățile componente Bușteni (reședința) și Poiana Țapului.[3] Localitatea e"
Bârlad,bârlad.html,223499,False,48,21,7,622,"Bârlad este un municipiu în județul Vaslui, Moldova, România.[2] Bârlad este localizat în estul țării, în regiunea Moldova. Până la instaurarea regimu"
Băbeni,băbeni.html,99144,False,24,7,4,224,"Băbeni este un oraș în județul Vâlcea, Oltenia, România, format din localitatea componentă Băbeni (reședința), și din satele Bonciu, Capu Dealului, Pă"
Băicoi,băicoi.html,159042,False,40,15,6,327,"Băicoi este un oraș în județul Prahova, Muntenia, România, format din localitățile componente Băicoi (reședința), Dâmbu, Liliești, Schela, Tufeni și Ț"
Băile Govora,băile_govora.html,140491,False,31,8,9,311,"Băile Govora (simplu Govora) este un oraș în județul Vâlcea, Oltenia, România, format din localitățile componente Curăturile, Gătejești și Prajila (re"
Băile Herculane,băile_herculane.html,215092,False,36,10,10,524,"Băile Herculane (în latină Aqua Herculis, în germană Herkulesbad, în maghiară Herkulesfürdő) este un oraș în județul Caraș-Severin, Banat, România, fo"
Băile Olănești,băile_olănești.html,161528,False,34,9,10,380,"Băile Olănești este un oraș în județul Vâlcea, Oltenia, România, format din localitățile componente Cheia, Comanca, Gurguiata, Livadia (reședința), Mo"
Băile Tușnad,băile_tușnad.html,148810,False,29,21,13,326,"Băile Tușnad (în maghiară Tusnádfürdő) este un oraș în județul Harghita, Transilvania, România, format din localitățile componente Băile Tușnad (reșed"
Băilești,băilești.html,140555,False,40,10,6,321,"Băilești este un municipiu în județul Dolj, Oltenia, România, format din localitățile componente Balasan și Băilești (reședința).[2] În anul 2011 avea"
Bălan,bălan.html,124694,False,41,13,4,202,"Bălan (în maghiară Balánbánya, în germană Kupferbergwerk) este un oraș în județul Harghita, Transilvania, România.[2] Are o populație de 6.115 locuito"
Bălcești,bălcești.html,100158,False,26,8,3,249,"Bălcești este un oraș în județul Vâlcea, Oltenia, România, format din localitatea componentă Bălcești (reședința), și din satele Benești, Cârlogani, C"
Cajvana,cajvana.html,141892,False,53,16,4,319,"Cajvana (în germană Keszwana/Keschwana,[necesită citare] în ucraineană Кажване, transliterat: Kajvane[necesită citare]) este un oraș în județul Suceav"
Calafat,calafat.html,275437,False,41,24,11,797,"Calafat este un municipiu în județul Dolj, Oltenia, România, format din localitatea componentă Calafat (reședința), și din satele Basarabi, Ciuperceni"
Caracal,caracal.html,251925,False,179,47,8,623,"Caracal este un municipiu în județul Olt, Oltenia, România.[2] Este fosta reședință a județului Romanați. Teritoriul administrativ al municipiului are"
Caransebeș,caransebeș.html,175049,False,36,14,6,355,"Caransebeș este un municipiu în județul Caraș-Severin, Banat, România, format din localitatea componentă Caransebeș (reședința), și din satul Jupa.[3]"
Carei,carei.html,187958,False,53,22,7,380,"Carei, mai demult Careii Mari, (în maghiară Nagykároly, în germană Großkarol) este un municipiu în județul Satu Mare, Transilvania, România, format di"
Cavnic,cavnic.html,121297,False,30,12,4,244,"Cavnic (numit local și Capnic, maghiară Kapnikbánya, germană Kapnik) este un oraș în județul Maramureș, Transilvania, România.[2] Conform recensământu"
Cehu Silvaniei,cehu_silvaniei.html,199038,False,31,11,7,564,"Cehu Silvaniei (în maghiară Szilágycseh, în germană Bömischdorf) este un oraș în județul Sălaj, Transilvania, România, format din localitatea componen"
Cernavodă,cernavodă.html,217542,False,26,14,8,645,"Cernavodă (în antichitate: Axiopolis (greacă: Ἀξιούπολις), bulgară: Черна вода (Cerna voda), turcă: Boğazköy) este un oraș în județul Constanța, Dobro"
Chitila,chitila.html,125452,False,36,6,6,297,"Chitila (în trecut și Zalhanaua lui Papazolu) este un oraș în județul Ilfov, Muntenia, România, format din localitățile componente Chitila (reședința)"
Chișineu-Criș,chișineu-criș.html,119745,False,38,12,4,260,"Chișineu-Criș (în maghiară Kisjenő, în trad. Ineul Mic) este un oraș în județul Arad, Crișana, România, format din localitatea componentă Chișineu-Cri"
Ciacova,ciacova.html,191158,False,76,23,10,479,"Ciacova (în maghiară Csák, Csákova, în germană Tschakowa, în sârbă Čakovo, cu alfabetul chirilic: Чаковo) este un oraș în județul Timiș, Banat, Români"
Cisnădie,cisnădie.html,357523,False,45,14,47,1179,"Cisnădie (denumire veche Cisnădia Mare, denumiri în dialectul săsesc De Hielt, Hilt și Helt, în germană Heltau, în maghiară Nagydisznód, Disznód) este"
Cluj-Napoca,cluj-napoca.html,2223149,False,197,85,26,4874,"Cluj-Napoca, numit doar Cluj până în 1974 și în limbajul cotidian, (în latină Claudiopolis, maghiară Kolozsvár, în germană Klausenburg, în dialectul s"
Codlea,codlea.html,417856,False,43,13,46,1396,"Codlea (în dialectul săsesc Zäöeden, în germană Zeiden, în maghiară Feketehalom, în latină Cidium) este un municipiu în județul Brașov, Transilvania, "
Comarnic,comarnic.html,169239,False,39,11,6,410,"Comarnic este un oraș în județul Prahova, Muntenia, România, format din localitățile componente Comarnic (reședința), Ghioșești, Podu Lung, Poiana și "
Comănești,comănești.html,151798,False,39,13,4,301,"Comănești (în maghiară Kománfalva) este un oraș în județul Bacău, Moldova, România, format din localitățile componente Comănești (reședința), Podei și"
Constanța,constanța.html,527332,False,104,40,14,1291,"Constanța (limba greacă veche: Tόμις - Tomis, latină: Tomis Constantiana, limba greacă Κωνστάντζα - Konstandza, limba tătară crimeeană Qöstence, limba"
Copșa Mică,copșa_mică.html,351156,False,59,17,46,1113,"Copșa Mică (în maghiară Kiskapus, în traducere „Poarta Mică”, în dialectul săsesc Klîkôpeš, Kopeš, Kli-Kopesch, în germană Klein-Kopisch, Kleinkopisch"
Corabia,corabia.html,178685,False,47,13,7,519,"Corabia este un oraș în județul Olt, Oltenia, România, format din localitățile componente Corabia (reședința) și Tudor Vladimirescu, și din satul Vârt"
Costești,costești.html,1408,False,0,0,0,0,
Covasna,covasna.html,151320,False,32,14,10,332,"Covasna (maghiară Kovászna, în germană Kovasna) este un oraș în județul Covasna, Transilvania, România, format din localitățile componente Chiuruș și "
Craiova,craiova.html,355571,False,141,48,13,1069,"Craiova este municipiul de reședință al județului Dolj, Oltenia, România, format din localitățile componente Craiova (reședința), Făcăi, Mofleni, Popo"
Cristuru Secuiesc,cristuru_secuiesc.html,151260,False,35,15,5,293,"Cristuru Secuiesc (în maghiară Székelykeresztúr, în germană Kreuz, în dialectul săsesc Ängersch-Kretz, în trad. ""Cristuru Unguresc"") este un oraș în j"
Cugir,cugir.html,181555,False,36,15,7,448,"Cugir, mai demult Cudgir (în maghiară Kudzsir, în germană Kudsir, Kudschir, Kuschir) este un oraș în județul Alba, Transilvania, România, format din l"
Curtea De Argeș,curtea_de_argeș.html,243320,False,50,21,5,577,"Curtea de Argeș este un municipiu în județul Argeș, Muntenia, România, format din localitățile componente Curtea de Argeș (reședința) și Noapteș.[4]"
Curtici,curtici.html,113393,False,32,8,4,214,"Curtici (în anii 1930–1940 Decebal; în maghiară Kürtös) este un oraș în județul Arad, Crișana, România.[2] Se află la o distanță de 17 km față de muni"
Câmpeni,câmpeni.html,197339,False,33,12,9,494,"Câmpeni (în maghiară Topánfalva, în germană Topesdorf) este un oraș în județul Alba, Transilvania, România, format din localitățile componente Bonceșt"
Câmpia Turzii,câmpia_turzii.html,382666,False,58,27,14,1113,"Câmpia Turzii (în maghiară Aranyosgyéres, în germană Jerischmarkt sau Gieresch) este un municipiu în județul Cluj, Transilvania, România.[4] Se află p"
Câmpina,câmpina.html,191793,False,39,18,7,429,"Câmpina este un municipiu în județul Prahova, Muntenia, România.[3] În 2002 avea o populație de 38.789 locuitori. În 2011 populația a scăzut la 32.935"
Câmpulung,câmpulung.html,222390,False,41,13,6,475,"Câmpulung (în germană Langenau, latină Longuscampus, Longo-Campo sau Longocampo)[3][4] sau Câmpulung Muscel este un municipiu în județul Argeș, Munten"
Câmpulung Moldovenesc,câmpulung_moldovenesc.html,241959,False,84,23,5,563,"Câmpulung Moldovenesc (până în 1950 Câmpulung, uneori Câmpulung-Bucovina, în germană Kimpolung sau Kimpulung) este un municipiu în județul Suceava, Bu"
Călan,călan.html,146406,False,37,10,6,288,"Călan (în germană Klandorf, în maghiară Kalán sau Pusztakalán) este un oraș în județul Hunedoara, Transilvania, România, format din localitățile compo"
Călimănești,călimănești.html,196874,False,51,10,12,518,"Călimănești este un oraș în județul Vâlcea, Oltenia, România, format din localitățile componente Căciulata, Călimănești (reședința), Jiblea Nouă, Jibl"
Călărași,călărași.html,411463,False,148,49,15,1006,"Călărași (în trecut, Lichirești[2] și, temporar, Știrbeiu[necesită citare]) este municipiul de reședință al județului cu același nume, Muntenia, Român"
Căzănești,căzănești.html,106734,False,26,8,4,201,"Căzănești este un oraș în județul Ialomița, Muntenia, România.[2]"
Darabani,darabani.html,162077,False,46,26,6,334,"Darabani este un oraș în județul Botoșani, Moldova, România, format din localitatea componentă Darabani (reședința), și din satele Bajura, Eșanca și L"
Dej,dej.html,240705,False,59,14,11,565,"Dej (în germană Desch, Deesch, Burglos, în maghiară Dés, Deés) este un municipiu în județul Cluj, Transilvania, România, format din localitățile compo"
Deta,deta.html,157591,False,90,19,8,345,"Deta (în maghiară Detta, în germană Detta) este un oraș în județul Timiș, Banat, România, format din localitatea componentă Deta (reședința), și din s"
Deva,deva.html,263793,False,64,20,9,661,"Deva (în maghiară Déva, în germană Diemrich) este municipiul de reședință al județului Hunedoara, Transilvania, România, format din localitățile compo"
Dolhasca,dolhasca.html,128015,False,32,12,5,295,"Dolhasca este un oraș în județul Suceava, Moldova, România, format din localitatea componentă Dolhasca (reședința), și din satele Budeni, Gulia, Poian"
Dorohoi,dorohoi.html,176093,False,45,21,6,375,"Dorohoi este un municipiu în județul Botoșani, Moldova, România, format din localitățile componente Dealu Mare, Dorohoi (reședința), Loturi Enescu și "
Dragomirești,dragomirești.html,100946,False,22,11,4,202,"Dragomirești (în maghiară Dragomérfalva, în germană Dragomir) este un oraș în județul Maramureș, Transilvania, România.[2]"
Drobeta-Turnu Severin,drobeta-turnu_severin.html,456498,False,128,37,14,1670,"Drobeta-Turnu Severin (denumire până în 1972: Turnu Severin, în maghiară Szörényvár sau Szörénytornya, în germană Turm Severin) este municipiul de reș"
Drăgănești-Olt,drăgănești-olt.html,121904,False,40,7,5,225,"Drăgănești-Olt este un oraș în județul Olt, Muntenia, România, format din localitatea componentă Drăgănești-Olt (reședința), și din satul Comani.[2] E"
Drăgășani,drăgășani.html,170584,False,52,19,6,407,"Drăgășani este un municipiu în județul Vâlcea, Oltenia, România, format din localitățile componente Drăgășani (reședința), Valea Caselor, Zărneni și Z"
Dumbrăveni,dumbrăveni.html,215266,False,43,27,7,530,"Dumbrăveni, mai demult Ibașfalău, oficial Elisabetopol, (în dialectul săsesc Eppeschdorf, în germană Elisabethstadt, în maghiară Ebesfalva, Erzsébetvá"
Dăbuleni,dăbuleni.html,113709,False,63,13,5,251,"Dăbuleni este un oraș în județul Dolj, Oltenia, România, format din localitatea componentă Dăbuleni (reședința), și din satul Chiașu.[2] A fost declar"
Dărmănești,dărmănești.html,158914,False,33,11,5,364,"Dărmănești (în maghiară Dormánfalva) este un oraș în județul Bacău, Moldova, România, format din localitatea componentă Dărmănești (reședința), și din"
Eforie,eforie.html,186356,False,33,13,8,277,"Eforie (anterior numit Carmen Sylva) este un oraș în județul Constanța, Dobrogea, România, format din localitățile componente Eforie Nord și Eforie Su"
Fetești,fetești.html,179771,False,28,9,7,456,"Fetești este un municipiu în județul Ialomița, Muntenia, România, format din localitățile componente Buliga, Fetești (reședința), Fetești-Gară și Vlaș"
Fieni,fieni.html,137739,False,30,11,6,263,"Fieni este un oraș în județul Dâmbovița, Muntenia, România, format din localitatea componentă Fieni (reședința), și din satele Berevoești și Costești."
Fierbinți-Târg,fierbinți-târg.html,119664,False,29,9,3,229,"Fierbinți-Târg (în trecut, Fierbinți-Stroești și Târgu Fierbinți) este un oraș în județul Ialomița, Muntenia, România, format din localitatea componen"
Filiași,filiași.html,129735,False,30,7,4,260,"Filiași este un oraș în județul Dolj, Oltenia, România, format din localitatea componentă Filiași (reședința), și din satele Almăjel, Bâlta, Braniște,"
Flămânzi,flămânzi.html,125328,False,25,12,6,258,"Flămânzi este un oraș în județul Botoșani, Moldova, România, format din localitățile componente Flămânzi (reședința), Nicolae Bălcescu și Poiana, și d"
Focșani,focșani.html,264064,False,72,34,9,793,"Focșani este municipiul de reședință al județului Vrancea, la limita între regiunile istorice Moldova și Muntenia, România, format din localitățile co"
Frasin,frasin.html,29378,True,4,6,2,77,Listă de specii
Fundulea,fundulea.html,137646,False,26,6,4,255,"Fundulea (în trecut, Crângul-Fundulele) este un oraș în județul Călărași, Muntenia, România, format din localitatea componentă Fundulea (reședința), ș"
Făget,făget.html,166223,False,75,20,9,321,"Făget (în maghiară Facsád, în germană Fatschet) este un oraș în județul Timiș, Banat, România, format din localitatea componentă Făget (reședința), și"
Făgăraș,făgăraș.html,363390,False,67,22,11,920,Dacă observați că nu au mai avut loc modificări de 10 zile puteți șterge această etichetă.
Fălticeni,fălticeni.html,225104,False,48,15,9,563,"Fălticeni (germană Foltischeni)[3] este un municipiu în județul Suceava, Moldova, România, format din localitățile componente Fălticeni (reședința), Ș"
Făurei,făurei.html,119386,False,35,12,4,213,"Făurei este un oraș în județul Brăila, Muntenia, România.[3] Are o populație de 3.592 de locuitori (2011). A fost declarat oraș la 17 februarie 1968, "
Galați,galați.html,655976,False,201,78,23,1332,"Galați este municipiul de reședință al județului cu același nume, Moldova, România.[3] Se află în apropiere de frontiera triplă sudică cu Republica Mo"
Geoagiu,geoagiu.html,159294,False,25,10,10,375,"Geoagiu (în maghiară Algyógy, în germană Gergesdorf) este un oraș în județul Hunedoara, Transilvania, România, format din localitatea componentă Geoag"
Gheorgheni,gheorgheni.html,197406,False,33,14,7,484,"Gheorgheni (mai demult Giurgeu-Sânmiclăuș, în maghiară Gyergyószentmiklós, în traducere „Sânnicolau Giurgeului”; în germană Niklasmarkt) este un munic"
Gherla,gherla.html,321946,False,67,25,12,701,"Gherla (în vechi surse: Armenopolis, în maghiară Szamosújvár, în germană Neuschloss, Armenierstadt, Armenerstadt, în armeană Հայաքաղաք - Hayakaghak) e"
Ghimbav,ghimbav.html,358960,False,34,10,47,1242,"Ghimbav (în dialectul săsesc Wedjebich, în germană Weidenbach, în maghiară Vidombák) este un oraș în județul Brașov, Transilvania, România.[4] Are o p"
Giurgiu,giurgiu.html,320377,False,53,13,14,1069,"Giurgiu (în bulgară Гюргево, transliterat: Ghiurghevo, în turcă Yergöğü) este municipiul de reședință al județului cu același nume, Muntenia, România."
Gura Humorului,gura_humorului.html,218208,False,56,17,7,433,"Gura Humorului (în trecut Gura Homorului, în germană și poloneză Gura Humora, cunoscut popular în limba germană și ca Hammerberg, în idiș גורא הומאָרא"
Găești,găești.html,200009,False,60,13,7,484,"Găești este un oraș în județul Dâmbovița, Muntenia, România.[2]"
Gătaia,gătaia.html,110598,False,59,12,5,230,"Gătaia (maghiară Gátalja, germană Gattaja, Gothal, Gatei, sârbă Гатаја, cu alfabetul latin: Gataja) este un oraș în județul Timiș, Banat, România, for"
Hațeg,hațeg.html,191259,False,47,15,7,466,"Hațeg (în maghiară Hátszeg, în germană Hötzing) este un oraș în județul Hunedoara, Transilvania, România, format din localitățile componente Hațeg (re"
Horezu,horezu.html,142780,False,28,9,4,291,"Horezu este un oraș în județul Vâlcea, Oltenia, România, format din localitatea componentă Horezu (reședința), și din satele Ifrimești, Râmești, Roman"
Huedin,huedin.html,320416,False,52,13,20,789,"Huedin (în maghiară Bánffyhunyad, în germană Heynod) este un oraș în județul Cluj, Transilvania, România, format din localitățile componente Bicălatu "
Hunedoara,hunedoara.html,253009,False,57,16,9,612,"Hunedoara (în germană Eisenmarkt, în maghiară Vajdahunyad, în trad. Târgu Fierului) este un municipiu în județul Hunedoara, Transilvania, România, for"
Huși,huși.html,180941,False,38,21,4,446,"Huși (idiș: הוש‎ Huș, maghiară: Huszváros, germană: Hussburg) este un municipiu în județul Vaslui, Moldova, România.[3] Se află aproape de frontiera d"
Hârlău,hârlău.html,144530,False,27,17,5,278,"Hârlău (germană Crolow, latină Civitas Bachloviae) este un oraș în județul Iași, Moldova, România, format din localitatea componentă Hârlău (reședința"
Hârșova,hârșova.html,182049,False,29,10,7,464,"Hârșova (în turcă Hırsova; în rusă Гирсово, transliterat: Ghirsovo; în bulgară Хърсово, transliterat: Hărsovo) este un oraș în județul Constanța, Dobr"
Ianca,ianca.html,146376,False,35,10,5,285,"Ianca este un oraș în județul Brăila, Muntenia, România, format din localitatea componentă Ianca (reședința), și din satele Berlești, Gara Ianca, Opri"
Iași,iași.html,661763,False,136,44,15,1952,
Iernut,iernut.html,241256,False,58,19,6,526,"Iernut, colocvial: Ernot, Iernot (în maghiară: Radnót, în germană: Radnuten) este un oraș în județul Mureș, Transilvania, România, format din localita"
Ineu,ineu.html,122387,False,37,10,4,261,"Ineu (maghiară: Borosjenő; sârbă: Јенопоље; turcă: Yanova) este un oraș în județul Arad, Crișana, România, format din localitatea componentă Ineu (reș"
Isaccea,isaccea.html,174874,False,52,18,6,453,"Isaccea (în turcă İshakçı) este un oraș în județul Tulcea, Dobrogea, România, format din localitățile componente Isaccea (reședința), Revărsarea și Ti"
Jibou,jibou.html,236745,False,49,22,7,402,"Jibou (în maghiară Zsibó, în germană Siben) este un oraș în județul Sălaj, Transilvania, România, format din localitatea componentă Jibou (reședința),"
Jimbolia,jimbolia.html,182104,False,79,25,8,379,"Jimbolia (în germană Hatzfeld, în maghiară Zsombolya, în sârbă Žombolj, cu alfabetul chirilic: Жомбољ, în bulgara bănățeană Džimbolj) este un oraș în "
Lehliu Gară,lehliu_gară.html,144810,False,27,6,4,283,"Lehliu Gară este un oraș în județul Călărași, Muntenia, România, format din localitatea componentă Lehliu Gară (reședința), și din satele Buzoeni, Răz"
Lipova,lipova.html,190229,False,39,12,11,515,"Lipova (în maghiară Lippa, în germană Lippa) este un oraș în județul Arad, Crișana, România, format din localitățile componente Lipova (reședința), Ra"
Liteni,liteni.html,128028,False,49,16,4,334,"Liteni este un oraș în județul Suceava, Moldova, România, format din localitatea componentă Liteni (reședința), și din satele Corni, Roșcani, Rotunda,"
Livada,livada.html,10863,False,1,1,1,49,Livada se poate referi la:
